Weight Bits,Channels,Filter Size,Image Size,Layer,Data Structure,Sparsity,Out Length,Forward Energy,Backward Energy,Forward Time,Backward Time,Memory Power
8,64,3,28,FullyConnected,PB-BMP,0.25,128,3.9323073690735366e-07, 2.3258180684432262e-06,0.0007607762972160001, 0.0018107944834560002,0.0176999083
8,64,3,28,FullyConnected,PB-CSR,0.25,128,7.486913081397376e-07, 2.4440237694090377e-06,0.0004491412474880001, 0.0017470810911980003,0.0575411963
8,64,3,28,FullyConnected,Crossbar,0.30000000000000004,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.30000000000000004,128,5.065937328241536e-07, 2.644020437019226e-06,0.0007808752125440001, 0.0018347629150600002,0.019954680300000003
8,64,3,28,FullyConnected,PB-CSR,0.30000000000000004,128,1.0381357509275777e-06, 3.0209234774783823e-06,0.0005427852707840001, 0.001905488935642,0.06933015630000001
8,64,3,28,FullyConnected,Crossbar,0.35000000000000003,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.35000000000000003,128,6.393094583230338e-07, 3.0038742599968257e-06,0.0008008938325760001, 0.0018595647514160004,0.0221732903
8,64,3,28,FullyConnected,PB-CSR,0.35000000000000003,128,1.0290154413657217e-06, 2.8367179337028735e-06,0.0006402134712320001, 0.00206387870242,0.0828823963
8,64,3,28,FullyConnected,Crossbar,0.4,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.4,128,7.840442302219137e-07, 3.3600983416944256e-06,0.000821084047872, 0.0018844031638580003,0.0243716803
8,64,3,28,FullyConnected,PB-CSR,0.4,128,1.2581939350038656e-06, 3.2305071328854182e-06,0.000732275139072, 0.002219999855263,0.0941562563
8,64,3,28,FullyConnected,Crossbar,0.45,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.45,128,6.604755013207936e-07, 2.8005746154520253e-06,0.000845848955648, 0.0019279622875760002,0.0269201703
8,64,3,28,FullyConnected,PB-CSR,0.45,128,1.5082349438420094e-06, 3.6485977686597693e-06,0.000824811263744, 0.002361446268669,0.10573653630000002
8,64,3,28,FullyConnected,Crossbar,0.5,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.5,128,7.689160140196736e-07, 3.045649510529626e-06,0.0008665634368000001, 0.0019528969797120003,0.0290621803
8,64,3,28,FullyConnected,PB-CSR,0.5,128,1.7777594982801536e-06, 4.082470988364121e-06,0.0009178642990080001, 0.002503866606176,0.1181809663
8,64,3,28,FullyConnected,Crossbar,0.55,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.55,128,8.907655635364736e-07, 3.310437488885626e-06,0.0008880206215680001, 0.001978804643196,0.03131695029999999
8,64,3,28,FullyConnected,PB-CSR,0.55,128,2.0739494386679936e-06, 4.551869481173466e-06,0.0010137058032640002, 0.00266327079757,0.12945900629999998
8,64,3,28,FullyConnected,Crossbar,0.6000000000000001,128,1.6560995666263936e-06, 4.288944089944026e-06,0.001085187094528, 0.0022051170447360004,0.045550506299999995
8,64,3,28,FullyConnected,PB-BMP,0.6000000000000001,128,1.0202968282353537e-06, 3.587459884843226e-06,0.0009091583047680002, 0.0020047155012,0.033571720299999996
